circuit_id,width,depth,n_rx,n_ry,n_rz,n_cx,state_hamming_weight,f_state_prob_p25,f_state_prob_p50,f_state_prob_p75,fr_state_error_p25,fr_state_error_p50,fr_state_error_p75,fr_program_error_p25,fr_program_error_p50,fr_program_error_p75,state_bitstring,true_probability
16,5,10,8,9,10,9,4,0.0325,0.035,0.04,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,01111,0.032417275323048445
16,5,10,8,9,10,9,1,0.01,0.0125,0.0125,0.0275,0.0325,0.0325,0.16249999999999998,0.16500000000000004,0.16749999999999998,10000,0.015843235412734337
16,5,10,8,9,10,9,2,0.0,0.0025,0.0025,0.0025,0.0025,0.005,0.16249999999999998,0.16500000000000004,0.16749999999999998,10001,0.00011010621087446396
16,5,10,8,9,10,9,2,0.02,0.02,0.0225,0.0025,0.005,0.005,0.16249999999999998,0.16500000000000004,0.16749999999999998,10010,0.01712413306781492
16,5,10,8,9,10,9,3,0.03,0.035,0.0475,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,10011,0.044070256915780454
16,5,10,8,9,10,9,2,0.0225,0.0275,0.03,0.0,0.0,0.0025,0.16249999999999998,0.16500000000000004,0.16749999999999998,10100,0.025347218589718515
16,5,10,8,9,10,9,3,0.045,0.05,0.0575,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,10101,0.05394029531375698
16,5,10,8,9,10,9,3,0.0125,0.015,0.015,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,10110,0.012487220466777171
16,5,10,8,9,10,9,4,0.0075,0.0075,0.01,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,10111,0.004620811316671628
16,5,10,8,9,10,9,2,0.01,0.01,0.0125,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,11000,0.006497131072941143
16,5,10,8,9,10,9,3,0.0175,0.0225,0.025,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,11001,0.02105843034427362
16,5,10,8,9,10,9,3,0.0225,0.025,0.0275,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,11010,0.02484339256512695
16,5,10,8,9,10,9,4,0.005,0.005,0.005,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,11011,0.0014248289823637949
